Airport_Code,Timezone,Ocorrencias,Airport_Name
KFFC,US/Eastern,25,Peachtree City Falcon Field
KFFM,US/Central,5,Fergus Falls Municipal Airport - Einar Mickelson Field
KFFO,US/Eastern,376,Wright-Patterson Air Force Base
KFFT,US/Eastern,13,Capital City Airport
KFFX,US/Eastern,9,Fremont Municipal Airport
KFFZ,US/Mountain,76,Falcon Field
KFHB,US/Eastern,18,Fernandina Beach Municipal Airport
KFHU,US/Mountain,2,Sierra Vista Municipal Airport / Libby Army Air Field
KFIG,US/Eastern,108,Clearfield Lawrence Airport
KFIT,US/Eastern,44,Fitchburg Municipal Airport
KFKA,US/Central,23,Fillmore County Airport
KFKL,US/Eastern,24,Venango Regional Airport
KFKN,US/Eastern,20,Franklin Regional Airport
KFKS,US/Eastern,2,Frankfort Dow Memorial Field
KFLD,US/Central,9,Fond du Lac County Airport
KFLG,US/Mountain,61,Flagstaff Pulliam International Airport
KFLL,US/Eastern,272,Fort Lauderdale Hollywood International Airport
KFLO,US/Eastern,176,Florence Regional Airport
KFLY,US/Mountain,4,Meadow Lake Airport
KFME,US/Eastern,155,Tipton Airport
KFMH,US/Eastern,14,Cape Cod Coast Guard Air Station
KFMM,US/Mountain,10,Fort Morgan Municipal Airport
KFMY,US/Eastern,170,Page Field
KFNL,US/Mountain,95,Northern Colorado Regional Airport
KFNT,US/Eastern,2308,Bishop International Airport
KFOD,US/Central,2,Fort Dodge Regional Airport
KFOK,US/Eastern,27,Francis S Gabreski Airport
KFOT,US/Pacific,19,Rohnerville Airport
KFPK,US/Eastern,15,Fitch H Beach Airport
KFPR,US/Eastern,25,St Lucie County International Airport
KFQD,US/Eastern,22,Rutherford County Marchman Field
KFRG,US/Eastern,560,Republic Airport
KFRM,US/Central,18,Fairmont Municipal Airport
KFSD,US/Central,5,Sioux Falls Regional Airport / Joe Foss Field
KFSE,US/Central,6,Fosston Municipal Airport-Anderson Field
KFSK,US/Central,2,Fort Scott Municipal Airport
KFSM,US/Central,22,Fort Smith Regional Airport
KFSO,US/Eastern,3,Franklin County State Airport
KFST,US/Central,3,Fort Stockton Pecos County Airport
KFTG,US/Mountain,4,Colorado Air and Space Port
KFTK,US/Eastern,4,Godman Army Air Field
KFTW,US/Central,78,Fort Worth Meacham International Airport
